JL101A,光学A星
JL101B,视频01星
JL102B,视频02星
JL103B,视频03星
JL104B,视频04星
JL105B,视频05星
JL106B,视频06星
JL107B,视频07星
JL108B,视频08星
JL101C,光谱01星
JL102C,光谱02星
WT-1A,网通1A星
WT-1B,网通1B星
JL101D,高分03A星
JL101E,高分02A星
JL102E,高分02B星
JL101K,宽幅01星
JL1KF01C,宽幅01C星
JL1KF01C-BD,宽幅01C星_北斗
JL1KF01B,宽幅01B星
JL1KF01B-BD,宽幅01B星_北斗
JL1SP09,视频09星
JL1GF02C,高分02C星
JL1GF02D,高分02D星
JL1GF02F,高分02F星
JL1GF03C01,高分03C01星
JL1GF03C01-BD,高分03C01星_北斗
JL1GF03C02,高分03C02星
JL1GF03C02-BD,高分03C02星_北斗
JL1GF03C03,高分03C03星
JL1GF03C03-BD,高分03C03星_北斗
JL1GF03B01,高分03B01星
JL1GF03B01-BD,高分03B01星_北斗
JL1GF03B02,高分03B02星
JL1GF03B02-BD,高分03B02星_北斗
JL1GF03B03,高分03B03星
JL1GF03B03-BD,高分03B03星_北斗
JL1GF03B04,高分03B04星
JL1GF03B04-BD,高分03B04星_北斗
JL1GF03B05,高分03B05星
JL1GF03B05-BD,高分03B05星_北斗
JL1GF03B06,高分03B06星
JL1GF03B06-BD,高分03B06星_北斗
JL1GF03D01,高分03D01星
JL1GF03D01-BD,高分03D01星_北斗
JL1GF03D02,高分03D02星
JL1GF03D02-BD,高分03D02星_北斗
JL1GF03D03,高分03D03星
JL1GF03D03-BD,高分03D03星_北斗
XSD-10,星时代-10星
XSD-10-BD,星时代-10星_北斗
JL1GF04A,高分04A星
JL1GF04A-BD,高分04A星_北斗
JL1GF03D04,高分03D04星
JL1GF03D04-BD,高分03D04星_北斗
JL1GF03D05,高分03D05星
JL1GF03D05-BD,高分03D05星_北斗
JL1GF03D06,高分03D06星
JL1GF03D06-BD,高分03D06星_北斗
JL1GF03D07,高分03D07星
JL1GF03D07-BD,高分03D07星_北斗
JL1GF03D08,高分03D08星
JL1GF03D08-BD,高分03D08星_北斗
JL1GF03D09,高分03D09星
JL1GF03D09-BD,高分03D09星_北斗
TJU-1,天津大学一号星
JL1GF03D10,高分03D10星
JL1GF03D10-BD,高分03D10星_北斗
JL1GF03D11,高分03D11星
JL1GF03D11-BD,高分03D11星_北斗
JL1GF03D12,高分03D12星
JL1GF03D12-BD,高分03D12星_北斗
JL1GF03D13,高分03D13星
JL1GF03D13-BD,高分03D13星_北斗
JL1GF03D14,高分03D14星
JL1GF03D14-BD,高分03D14星_北斗
JL1GF03D15,高分03D15星
JL1GF03D15-BD,高分03D15星_北斗
JL1GF03D16,高分03D16星
JL1GF03D16-BD,高分03D16星_北斗
JL1GF03D17,高分03D17星
JL1GF03D17-BD,高分03D17星_北斗
JL1GF03D18,高分03D18星
JL1GF03D18-BD,高分03D18星_北斗
JL1GF03D27,高分03D27星
JL1GF03D27-BD,高分03D27星_北斗
JL1GF03D28,高分03D28星
JL1GF03D28-BD,高分03D28星_北斗
JL1GF03D29,高分03D29星
JL1GF03D29-BD,高分03D29星_北斗
JL1GF03D30,高分03D30星
JL1GF03D30-BD,高分03D30星_北斗
JL1GF03D31,高分03D31星
JL1GF03D31-BD,高分03D31星_北斗
JL1GF03D32,高分03D32星
JL1GF03D32-BD,高分03D32星_北斗
JL1GF03D33,高分03D33星
JL1GF03D33-BD,高分03D33星_北斗
JL1GF03D34,高分03D34星
JL1GF03D34-BD,高分03D34星_北斗
JL1GF03D42,高分03D42星
JL1GF03D43,高分03D43星
DP01,东坡01星
DP02,东坡02星
DP03,东坡03星
